4,"","","","","","","","ëçêî","","","","","","","","","","","","","","","","","","","","íj","","","","","","","","","","","","","","","","","","","","èó","","","","","","","","","","","","","","","","","","",""
5,"ésãÊí¨ë∫ÉRÅ[Éh","í¨íöéöÉRÅ[Éh","îÈìΩèàóù","îÈìΩêÊèÓïÒ","çáéZínàÊ","ésãÊí¨ë∫","í¨íöéö","ëçêî","A î_ã∆","B ó—ã∆","C ãôã∆","D çzã∆","E åöê›ã∆","F êªë¢ã∆","G ìdãCÅEÉKÉXÅEîMãüããÅEêÖìπã∆","H èÓïÒí êMã∆","I â^óAã∆","J âµîÑÅEè¨îÑã∆","K ã‡óZÅEï€åØã∆","L ïsìÆéYã∆","M à˘êHìXÅCèhîëã∆","N à„ó√ÅCïüéÉ","O ã≥àÁÅCäwèKéxâáã∆","P ï°çáÉTÅ[ÉrÉXéñã∆","Q ÉTÅ[ÉrÉXã∆","R åˆñ±(ëºÇ…ï™óﬁÇ≥ÇÍÇ»Ç¢Ç‡ÇÃ)","S ï™óﬁïsî\ÇÃéYã∆","ëçêî","A î_ã∆","B ó—ã∆","C ãôã∆","D çzã∆","E åöê›ã∆","F êªë¢ã∆","G ìdãCÅEÉKÉXÅEîMãüããÅEêÖìπã∆","H èÓïÒí êMã∆","I â^óAã∆","J âµîÑÅEè¨îÑã∆","K ã‡óZÅEï€åØã∆","L ïsìÆéYã∆","M à˘êHìXÅCèhîëã∆","N à„ó√ÅCïüéÉ","O ã≥àÁÅCäwèKéxâáã∆","P ï°çáÉTÅ[ÉrÉXéñã∆","Q ÉTÅ[ÉrÉXã∆","R åˆñ±(ëºÇ…ï™óﬁÇ≥ÇÍÇ»Ç¢Ç‡ÇÃ)","S ï™óﬁïsî\ÇÃéYã∆","ëçêî","A î_ã∆","B ó—ã∆","C ãôã∆","D çzã∆","E åöê›ã∆","F êªë¢ã∆","G ìdãCÅEÉKÉXÅEîMãüããÅEêÖìπã∆","H èÓïÒí êMã∆","I â^óAã∆","J âµîÑÅEè¨îÑã∆","K ã‡óZÅEï€åØã∆","L ïsìÆéYã∆","M à˘êHìXÅCèhîëã∆","N à„ó√ÅCïüéÉ","O ã≥àÁÅCäwèKéxâáã∆","P ï°çáÉTÅ[ÉrÉXéñã∆","Q ÉTÅ[ÉrÉXã∆","R åˆñ±(ëºÇ…ï™óﬁÇ≥ÇÍÇ»Ç¢Ç‡ÇÃ)","S ï™óﬁïsî\ÇÃéYã∆"
62,"25201","048003","","","","ëÂí√és","àﬂêÏÇRíöñ⁄",287,1,-,-,-,37,36,-,4,14,46,4,2,19,17,8,-,48,42,9,182,1,-,-,-,35,26,-,3,13,15,1,2,9,3,4,-,26,40,4,105,-,-,-,-,2,10,-,1,1,31,3,-,10,14,4,-,22,2,5
63,"25201","0510","","","","ëÂí√és","ç°åòìc",1792,43,-,3,-,152,246,10,20,57,359,34,26,111,191,79,20,314,80,47,1048,31,-,2,-,132,193,9,13,52,172,15,16,48,48,32,13,189,62,21,744,12,-,1,-,20,53,1,7,5,187,19,10,63,143,47,7,125,18,26
64,"25201","051001","","","","ëÂí√és","ç°åòìcÇPíöñ⁄",241,34,-,-,-,11,36,3,2,3,33,5,6,12,27,10,4,44,10,1,141,23,-,-,-,11,26,3,2,2,22,2,4,4,5,4,3,23,7,-,100,11,-,-,-,-,10,-,-,1,11,3,2,8,22,6,1,21,3,1
65,"25201","051002","","","","ëÂí√és","ç°åòìcÇQíöñ⁄",1230,4,-,3,-,116,167,7,14,42,256,23,16,71,130,58,15,214,61,33,725,4,-,2,-,101,128,6,10,39,124,10,10,33,36,23,9,128,46,16,505,-,-,1,-,15,39,1,4,3,132,13,6,38,94,35,6,86,15,17
66,"25201","051003","","","","ëÂí√és","ç°åòìcÇRíöñ⁄",321,5,-,-,-,25,43,-,4,12,70,6,4,28,34,11,1,56,9,13,182,4,-,-,-,20,39,-,1,11,26,3,2,11,7,5,1,38,9,5,139,1,-,-,-,5,4,-,3,1,44,3,2,17,27,6,-,18,-,8
67,"25201","0541","","","","ëÂí√és","ã¬ñÿí¨",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
68,"25201","0542","","","","ëÂí√és","ã¬ñÿ",1220,144,2,-,-,158,165,8,17,40,180,31,5,63,93,60,21,162,46,25,721,100,1,-,-,139,112,8,14,37,83,16,3,11,18,26,14,91,33,15,499,44,1,-,-,19,53,-,3,3,97,15,2,52,75,34,7,71,13,10
69,"25201","054201","","","","ëÂí√és","ã¬ñÿÇPíöñ⁄",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
70,"25201","054202","","","","ëÂí√és","ã¬ñÿÇQíöñ⁄",521,70,1,-,-,68,57,4,9,14,75,14,1,27,45,33,10,56,20,17,298,47,-,-,-,62,42,4,7,14,35,7,1,5,6,11,7,28,12,10,223,23,1,-,-,6,15,-,2,-,40,7,-,22,39,22,3,28,8,7
71,"25201","054203","","","","ëÂí√és","ã¬ñÿÇRíöñ⁄",91,4,-,-,-,26,8,1,2,2,15,-,-,5,8,4,1,11,4,-,56,2,-,-,-,20,6,1,2,2,7,-,-,1,1,3,-,7,4,-,35,2,-,-,-,6,2,-,-,-,8,-,-,4,7,1,1,4,-,-
72,"25201","054204","","","","ëÂí√és","ã¬ñÿÇSíöñ⁄",182,25,-,-,-,18,30,2,1,7,30,5,2,7,16,5,3,23,8,-,113,17,-,-,-,16,21,2,1,7,15,2,1,1,3,3,2,16,6,-,69,8,-,-,-,2,9,-,-,-,15,3,1,6,13,2,1,7,2,-
73,"25201","054205","","","","ëÂí√és","ã¬ñÿÇTíöñ⁄",176,21,-,-,-,21,20,-,1,10,28,5,2,14,12,8,2,26,5,1,107,17,-,-,-,18,11,-,1,8,13,3,1,4,4,4,2,15,5,1,69,4,-,-,-,3,9,-,-,2,15,2,1,10,8,4,-,11,-,-
74,"25201","054206","","","","ëÂí√és","ã¬ñÿÇUíöñ⁄",198,17,1,-,-,22,37,1,3,7,27,7,-,9,10,9,5,32,4,7,121,13,1,-,-,21,25,1,2,6,11,4,-,-,4,4,3,20,2,4,77,4,-,-,-,1,12,-,1,1,16,3,-,9,6,5,2,12,2,3
75,"25201","054207","","","","ëÂí√és","ã¬ñÿÇVíöñ⁄",52,7,-,-,-,3,13,-,1,-,5,-,-,1,2,1,-,14,5,-,26,4,-,-,-,2,7,-,1,-,2,-,-,-,-,1,-,5,4,-,26,3,-,-,-,1,6,-,-,-,3,-,-,1,2,-,-,9,1,-
76,"25201","0551","","","","ëÂí√és","óYã’ñk",845,1,-,1,-,60,154,19,24,21,129,34,10,33,89,58,8,125,57,22,544,1,-,1,-,49,118,18,17,17,63,16,9,18,34,37,6,81,45,14,301,-,-,-,-,11,36,1,7,4,66,18,1,15,55,21,2,44,12,8
77,"25201","055101","","","","ëÂí√és","óYã’ñkÇPíöñ⁄",281,-,-,-,-,20,44,7,8,10,53,9,3,6,29,20,3,46,17,6,175,-,-,-,-,15,30,7,5,7,31,3,3,2,15,10,1,28,13,5,106,-,-,-,-,5,14,-,3,3,22,6,-,4,14,10,2,18,4,1
78,"25201","055102","","","","ëÂí√és","óYã’ñkÇQíöñ⁄",564,1,-,1,-,40,110,12,16,11,76,25,7,27,60,38,5,79,40,16,369,1,-,1,-,34,88,11,12,10,32,13,6,16,19,27,5,53,32,9,195,-,-,-,-,6,22,1,4,1,44,12,1,11,41,11,-,26,8,7
79,"25201","0552","","","","ëÂí√és","óYã’",1296,29,-,-,-,91,176,2,28,44,258,31,20,218,95,59,7,172,34,32,761,22,-,-,-,82,131,2,24,42,139,15,13,88,36,27,4,95,26,15,535,7,-,-,-,9,45,-,4,2,119,16,7,130,59,32,3,77,8,17
80,"25201","055201","","","","ëÂí√és","óYã’ÇPíöñ⁄",198,2,-,-,-,20,27,-,6,4,39,3,1,34,18,3,1,31,4,5,106,2,-,-,-,17,18,-,5,4,19,2,-,8,5,1,-,18,4,3,92,-,-,-,-,3,9,-,1,-,20,1,1,26,13,2,1,13,-,2
81,"25201","055202","","","","ëÂí√és","óYã’ÇQíöñ⁄",211,22,-,-,-,16,26,1,1,6,42,5,5,21,13,9,1,32,4,7,131,17,-,-,-,14,17,1,1,6,26,2,3,7,5,6,1,18,3,4,80,5,-,-,-,2,9,-,-,-,16,3,2,14,8,3,-,14,1,3
82,"25201","055203","çáéZínàÊÇ†ÇË","","055204","ëÂí√és","óYã’ÇRíöñ⁄",311,5,-,-,-,20,55,-,9,9,54,9,4,17,28,28,4,47,15,7,189,3,-,-,-,20,44,-,8,8,32,5,2,7,14,12,2,20,9,3,122,2,-,-,-,-,11,-,1,1,22,4,2,10,14,16,2,27,6,4
83,"25201","055204","îÈìΩínàÊ","055203","","ëÂí√és","óYã’ÇSíöñ⁄",X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
84,"25201","055205","","","","ëÂí√és","óYã’ÇTíöñ⁄",325,-,-,-,-,23,47,1,9,18,82,9,9,27,27,16,-,41,8,8,190,-,-,-,-,20,35,1,7,17,42,4,8,7,10,7,-,22,7,3,135,-,-,-,-,3,12,-,2,1,40,5,1,20,17,9,-,19,1,5
85,"25201","055206","","","","ëÂí√és","óYã’ÇUíöñ⁄",251,-,-,-,-,12,21,-,3,7,41,5,1,119,9,3,1,21,3,5,145,-,-,-,-,11,17,-,3,7,20,2,-,59,2,1,1,17,3,2,106,-,-,-,-,1,4,-,-,-,21,3,1,60,7,2,-,4,-,3
86,"25201","0610","","","","ëÂí√és","êÁñÏ",222,34,-,-,1,21,27,2,4,10,29,8,3,18,13,9,6,29,5,3,137,24,-,-,1,18,20,2,3,10,11,7,2,7,2,2,4,19,4,1,85,10,-,-,-,3,7,-,1,-,18,1,1,11,11,7,2,10,1,2
87,"25201","061001","","","","ëÂí√és","êÁñÏÇPíöñ⁄",155,22,-,-,1,11,20,2,3,6,24,6,2,12,9,5,4,22,3,3,96,16,-,-,1,10,15,2,3,6,10,5,1,5,1,-,3,14,3,1,59,6,-,-,-,1,5,-,-,-,14,1,1,7,8,5,1,8,-,2
88,"25201","061002","","","","ëÂí√és","êÁñÏÇQíöñ⁄",29,4,-,-,-,6,2,-,-,2,4,1,1,5,-,-,1,3,-,-,19,3,-,-,-,5,2,-,-,2,1,1,1,2,-,-,1,1,-,-,10,1,-,-,-,1,-,-,-,-,3,-,-,3,-,-,-,2,-,-
89,"25201","061003","","","","ëÂí√és","êÁñÏÇRíöñ⁄",38,8,-,-,-,4,5,-,1,2,1,1,-,1,4,4,1,4,2,-,22,5,-,-,-,3,3,-,-,2,-,1,-,-,1,2,-,4,1,-,16,3,-,-,-,1,2,-,1,-,1,-,-,1,3,2,1,-,1,-
90,"25201","0640","","","","ëÂí√és","ïcé≠",759,25,-,-,-,66,81,4,7,17,90,16,12,103,69,17,7,212,11,22,470,16,-,-,-,61,60,3,4,16,52,8,7,43,21,7,3,144,11,14,289,9,-,-,-,5,21,1,3,1,38,8,5,60,48,10,4,68,-,8
91,"25201","064001","","","","ëÂí√és","ïcé≠ÇPíöñ⁄",141,9,-,-,-,14,18,-,1,3,15,3,6,18,16,3,3,28,3,1,77,6,-,-,-,11,15,-,-,3,7,3,4,6,6,1,1,11,3,-,64,3,-,-,-,3,3,-,1,-,8,-,2,12,10,2,2,17,-,1
92,"25201","064002","","","","ëÂí√és","ïcé≠ÇQíöñ⁄",512,14,-,-,-,50,60,4,6,14,74,13,6,83,53,14,4,88,8,21,296,8,-,-,-,48,44,3,4,13,44,5,3,36,15,6,2,43,8,14,216,6,-,-,-,2,16,1,2,1,30,8,3,47,38,8,2,45,-,7
93,"25201","064003","","","","ëÂí√és","ïcé≠ÇRíöñ⁄",106,2,-,-,-,2,3,-,-,-,1,-,-,2,-,-,-,96,-,-,97,2,-,-,-,2,1,-,-,-,1,-,-,1,-,-,-,90,-,-,9,-,-,-,-,-,2,-,-,-,-,-,-,1,-,-,-,6,-,-
94,"25201","0670","","","","ëÂí√és","ì˙ãgë‰",2033,5,-,-,-,99,294,8,58,63,393,74,37,101,219,210,22,349,66,35,1164,5,-,-,-,78,229,6,41,52,184,39,26,46,57,110,9,211,49,22,869,-,-,-,-,21,65,2,17,11,209,35,11,55,162,100,13,138,17,13
95,"25201","067001","","","","ëÂí√és","ì˙ãgë‰ÇPíöñ⁄",528,-,-,-,-,29,84,-,16,16,106,15,8,29,58,41,5,89,21,11,302,-,-,-,-,23,65,-,10,13,50,7,6,13,15,23,2,54,15,6,226,-,-,-,-,6,19,-,6,3,56,8,2,16,43,18,3,35,6,5
96,"25201","067002","","","","ëÂí√és","ì˙ãgë‰ÇQíöñ⁄",493,2,-,-,-,18,64,2,13,14,93,16,11,27,56,52,5,97,14,9,290,2,-,-,-,13,49,1,9,13,48,11,8,12,18,24,4,59,12,7,203,-,-,-,-,5,15,1,4,1,45,5,3,15,38,28,1,38,2,2
97,"25201","067003","","","","ëÂí√és","ì˙ãgë‰ÇRíöñ⁄",538,1,-,-,-,25,65,5,17,18,101,23,12,14,56,79,7,85,19,11,300,1,-,-,-,20,51,4,14,15,46,13,8,9,10,44,1,46,13,5,238,-,-,-,-,5,14,1,3,3,55,10,4,5,46,35,6,39,6,6
98,"25201","067004","","","","ëÂí√és","ì˙ãgë‰ÇSíöñ⁄",474,2,-,-,-,27,81,1,12,15,93,20,6,31,49,38,5,78,12,4,272,2,-,-,-,22,64,1,8,11,40,8,4,12,14,19,2,52,9,4,202,-,-,-,-,5,17,-,4,4,53,12,2,19,35,19,3,26,3,-
99,"25201","0710","","","","ëÂí√és","ç‚ñ{ñ{í¨",26,-,-,-,-,1,1,-,1,2,-,-,1,2,-,-,-,18,-,-,21,-,-,-,-,1,1,-,1,2,-,-,-,-,-,-,-,16,-,-,5,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,2,-,-
100,"25201","0720","","","","ëÂí√és","ç‚ñ{",4446,55,2,-,1,610,501,24,63,173,779,109,42,298,395,209,56,851,146,132,2623,42,2,-,-,528,361,24,45,151,354,41,34,114,96,106,36,504,100,85,1823,13,-,-,1,82,140,-,18,22,425,68,8,184,299,103,20,347,46,47
101,"25201","072001","","","","ëÂí√és","ç‚ñ{ÇPíöñ⁄",564,12,-,-,-,69,67,3,10,22,84,15,7,48,47,39,4,99,23,15,332,8,-,-,-,60,42,3,9,17,43,6,5,23,15,18,3,54,15,11,232,4,-,-,-,9,25,-,1,5,41,9,2,25,32,21,1,45,8,4
102,"25201","072002","","","","ëÂí√és","ç‚ñ{ÇQíöñ⁄",481,11,-,-,1,58,74,1,7,22,76,18,6,27,45,24,8,71,22,10,285,10,-,-,-,47,55,1,6,19,32,3,5,16,8,15,5,41,15,7,196,1,-,-,1,11,19,-,1,3,44,15,1,11,37,9,3,30,7,3
103,"25201","072003","","","","ëÂí√és","ç‚ñ{ÇRíöñ⁄",882,2,-,-,-,86,110,4,10,38,174,35,8,47,98,46,11,144,45,24,513,2,-,-,-,73,85,4,6,34,83,13,8,18,28,21,4,82,34,18,369,-,-,-,-,13,25,-,4,4,91,22,-,29,70,25,7,62,11,6
104,"25201","072004","","","","ëÂí√és","ç‚ñ{ÇSíöñ⁄",318,2,-,-,-,21,31,1,2,10,74,6,-,35,26,13,-,90,5,2,191,1,-,-,-,18,24,1,1,9,34,2,-,16,8,10,-,60,5,2,127,1,-,-,-,3,7,-,1,1,40,4,-,19,18,3,-,30,-,-
105,"25201","072005","","","","ëÂí√és","ç‚ñ{ÇTíöñ⁄",304,8,-,-,-,34,22,1,7,9,49,4,4,10,24,10,3,105,9,5,201,6,-,-,-,28,20,1,5,7,25,-,4,3,7,5,3,76,8,3,103,2,-,-,-,6,2,-,2,2,24,4,-,7,17,5,-,29,1,2
106,"25201","072006","","","","ëÂí√és","ç‚ñ{ÇUíöñ⁄",750,12,-,-,-,144,82,6,10,27,125,12,7,43,53,28,22,141,11,27,441,9,-,-,-,130,51,6,6,23,55,7,4,14,11,12,16,73,6,18,309,3,-,-,-,14,31,-,4,4,70,5,3,29,42,16,6,68,5,9
107,"25201","072007","","","","ëÂí√és","ç‚ñ{ÇVíöñ⁄",742,7,2,-,-,118,75,2,15,35,144,13,10,53,63,28,6,121,22,28,433,5,2,-,-,97,58,2,11,33,61,7,8,18,12,14,4,74,13,14,309,2,-,-,-,21,17,-,4,2,83,6,2,35,51,14,2,47,9,14
108,"25201","072008","","","","ëÂí√és","ç‚ñ{ÇWíöñ⁄",405,1,-,-,-,80,40,6,2,10,53,6,-,35,39,21,2,80,9,21,227,1,-,-,-,75,26,6,1,9,21,3,-,6,7,11,1,44,4,12,178,-,-,-,-,5,14,-,1,1,32,3,-,29,32,10,1,36,5,9
109,"25201","0800","","","","ëÂí√és","ñÿÇÃâ™í¨",478,1,-,-,2,40,94,1,4,10,75,16,6,30,34,46,4,78,26,11,285,1,-,-,2,34,71,1,4,8,41,7,4,11,9,24,4,40,17,7,193,-,-,-,-,6,23,-,-,2,34,9,2,19,25,22,-,38,9,4
110,"25201","0810","","","","ëÂí√és","â∫ç„ñ{",2929,52,-,1,-,322,424,25,57,100,523,98,32,200,255,173,27,433,131,76,1777,36,-,1,-,272,322,22,45,87,263,50,27,95,52,88,19,260,92,46,1152,16,-,-,-,50,102,3,12,13,260,48,5,105,203,85,8,173,39,30
111,"25201","081001","","","","ëÂí√és","â∫ç„ñ{ÇPíöñ⁄",565,20,-,1,-,62,88,4,10,18,105,20,8,44,31,34,6,79,14,21,353,13,-,1,-,55,71,4,8,17,48,7,8,20,8,17,6,44,11,15,212,7,-,-,-,7,17,-,2,1,57,13,-,24,23,17,-,35,3,6
112,"25201","081002","","","","ëÂí√és","â∫ç„ñ{ÇQíöñ⁄",346,7,-,-,-,41,53,3,5,12,58,9,4,22,37,17,4,51,13,10,204,6,-,-,-,37,38,2,3,12,32,3,3,12,4,8,2,28,9,5,142,1,-,-,-,4,15,1,2,-,26,6,1,10,33,9,2,23,4,5
113,"25201","081003","","","","ëÂí√és","â∫ç„ñ{ÇRíöñ⁄",474,6,-,-,-,57,62,9,8,22,86,14,7,32,38,19,3,71,30,10,301,3,-,-,-,47,45,8,8,16,51,8,6,14,12,8,2,49,20,4,173,3,-,-,-,10,17,1,-,6,35,6,1,18,26,11,1,22,10,6
114,"25201","081004","","","","ëÂí√és","â∫ç„ñ{ÇSíöñ⁄",388,8,-,-,-,53,56,3,8,20,60,15,3,23,39,19,1,63,11,6,223,5,-,-,-,44,41,2,6,17,27,8,2,10,8,9,-,35,5,4,165,3,-,-,-,9,15,1,2,3,33,7,1,13,31,10,1,28,6,2
115,"25201","081005","","","","ëÂí√és","â∫ç„ñ{ÇTíöñ⁄",364,4,-,-,-,35,49,1,7,7,69,16,4,23,37,17,4,58,22,11,227,4,-,-,-,33,38,1,4,6,36,12,3,11,7,9,4,38,15,6,137,-,-,-,-,2,11,-,3,1,33,4,1,12,30,8,-,20,7,5
116,"25201","081006","","","","ëÂí√és","â∫ç„ñ{ÇUíöñ⁄",792,7,-,-,-,74,116,5,19,21,145,24,6,56,73,67,9,111,41,18,469,5,-,-,-,56,89,5,16,19,69,12,5,28,13,37,5,66,32,12,323,2,-,-,-,18,27,-,3,2,76,12,1,28,60,30,4,45,9,6
117,"25201","0870","","","","ëÂí√és","î‰âbí“",760,10,-,1,-,55,159,11,15,36,111,19,7,42,57,29,10,118,59,21,464,5,-,1,-,50,127,10,11,33,36,9,6,21,9,14,7,72,43,10,296,5,-,-,-,5,32,1,4,3,75,10,1,21,48,15,3,46,16,11
118,"25201","087001","","","","ëÂí√és","î‰âbí“ÇPíöñ⁄",319,9,-,1,-,26,78,3,11,13,38,7,4,22,26,11,6,42,13,9,207,4,-,1,-,24,64,3,8,13,16,3,4,13,3,6,5,25,10,5,112,5,-,-,-,2,14,-,3,-,22,4,-,9,23,5,1,17,3,4
119,"25201","087002","","","","ëÂí√és","î‰âbí“ÇQíöñ⁄",441,1,-,-,-,29,81,8,4,23,73,12,3,20,31,18,4,76,46,12,257,1,-,-,-,26,63,7,3,20,20,6,2,8,6,8,2,47,33,5,184,-,-,-,-,3,18,1,1,3,53,6,1,12,25,10,2,29,13,7
120,"25201","0890","","","","ëÂí√és","ìÇçË",1889,6,1,-,-,192,241,13,34,92,388,59,23,174,192,80,15,296,47,36,1048,4,1,-,-,164,164,12,24,79,176,19,12,67,59,50,9,155,34,19,841,2,-,-,-,28,77,1,10,13,212,40,11,107,133,30,6,141,13,17
121,"25201","089001","","","","ëÂí√és","ìÇçËÇPíöñ⁄",666,2,-,-,-,61,85,6,17,33,142,21,6,55,55,33,7,110,15,18,390,1,-,-,-,53,64,6,12,30,57,9,5,20,16,19,5,69,12,12,276,1,-,-,-,8,21,-,5,3,85,12,1,35,39,14,2,41,3,6
122,"25201","089002","","","","ëÂí√és","ìÇçËÇQíöñ⁄",350,-,-,-,-,34,38,3,5,19,74,10,6,53,37,6,1,45,5,14,175,-,-,-,-,31,21,3,3,15,30,3,3,24,9,5,-,20,4,4,175,-,-,-,-,3,17,-,2,4,44,7,3,29,28,1,1,25,1,10
123,"25201","089003","","","","ëÂí√és","ìÇçËÇRíöñ⁄",492,3,1,-,-,47,68,2,5,23,99,16,7,44,56,20,2,89,9,1,267,2,1,-,-,41,47,2,4,21,49,5,2,15,19,12,-,40,6,1,225,1,-,-,-,6,21,-,1,2,50,11,5,29,37,8,2,49,3,-
124,"25201","089004","","","","ëÂí√és","ìÇçËÇSíöñ⁄",381,1,-,-,-,50,50,2,7,17,73,12,4,22,44,21,5,52,18,3,216,1,-,-,-,39,32,1,5,13,40,2,2,8,15,14,4,26,12,2,165,-,-,-,-,11,18,1,2,4,33,10,2,14,29,7,1,26,6,1
125,"25201","0930","","","","ëÂí√és","ñÌê∂í¨",237,-,-,-,-,18,39,3,4,6,62,3,1,15,33,12,-,34,2,5,125,-,-,-,-,15,31,2,3,6,24,2,1,9,5,6,-,16,2,3,112,-,-,-,-,3,8,1,1,-,38,1,-,6,28,6,-,18,-,2
126,"25201","0940","","","","ëÂí√és","åäëæ",776,13,-,-,-,89,118,2,15,33,141,14,8,42,85,38,7,130,30,11,454,8,-,-,-,77,87,2,8,29,64,4,5,28,21,18,4,76,18,5,322,5,-,-,-,12,31,-,7,4,77,10,3,14,64,20,3,54,12,6
127,"25201","094001","","","","ëÂí√és","åäëæÇPíöñ⁄",257,3,-,-,-,29,37,-,3,15,64,5,2,14,28,10,-,35,11,1,154,2,-,-,-,26,28,-,3,14,34,2,1,10,6,3,-,17,7,1,103,1,-,-,-,3,9,-,-,1,30,3,1,4,22,7,-,18,4,-
128,"25201","094002","","","","ëÂí√és","åäëæÇQíöñ⁄",316,9,-,-,-,44,46,1,5,14,48,5,2,17,38,10,5,56,12,4,189,6,-,-,-,35,38,1,2,12,18,-,2,11,10,6,3,36,7,2,127,3,-,-,-,9,8,-,3,2,30,5,-,6,28,4,2,20,5,2
129,"25201","094003","","","","ëÂí√és","åäëæÇRíöñ⁄",203,1,-,-,-,16,35,1,7,4,29,4,4,11,19,18,2,39,7,6,111,-,-,-,-,16,21,1,3,3,12,2,2,7,5,9,1,23,4,2,92,1,-,-,-,-,14,-,4,1,17,2,2,4,14,9,1,16,3,4
130,"25201","0970","","","","ëÂí√és","é†âÍó¢",1357,37,-,-,-,108,127,3,26,51,255,34,24,85,139,89,17,218,108,36,800,20,-,-,-,98,91,3,18,43,124,14,16,38,30,43,12,135,92,23,557,17,-,-,-,10,36,-,8,8,131,20,8,47,109,46,5,83,16,13
131,"25201","097001","","","","ëÂí√és","é†âÍó¢ÇPíöñ⁄",437,13,-,-,-,39,44,1,9,18,88,11,12,26,45,27,7,63,13,21,248,7,-,-,-,36,28,1,6,16,39,6,10,11,8,15,5,38,9,13,189,6,-,-,-,3,16,-,3,2,49,5,2,15,37,12,2,25,4,8
132,"25201","097002","","","","ëÂí√és","é†âÍó¢ÇQíöñ⁄",373,18,-,-,-,24,37,1,8,13,68,7,3,21,34,32,3,56,41,7,227,10,-,-,-,20,28,1,6,8,34,2,-,12,11,11,3,39,38,4,146,8,-,-,-,4,9,-,2,5,34,5,3,9,23,21,-,17,3,3
133,"25201","097003","","","","ëÂí√és","é†âÍó¢ÇRíöñ⁄",312,2,-,-,-,25,22,-,5,12,52,8,7,17,33,21,4,56,41,7,191,1,-,-,-,24,15,-,4,12,25,5,4,8,6,12,2,34,34,5,121,1,-,-,-,1,7,-,1,-,27,3,3,9,27,9,2,22,7,2
134,"25201","097004","","","","ëÂí√és","é†âÍó¢ÇSíöñ⁄",235,4,-,-,-,20,24,1,4,8,47,8,2,21,27,9,3,43,13,1,134,2,-,-,-,18,20,1,2,7,26,1,2,7,5,5,2,24,11,1,101,2,-,-,-,2,4,-,2,1,21,7,-,14,22,4,1,19,2,-
135,"25201","1010","","","","ëÂí√és","å©ê¢",635,2,-,-,-,39,77,3,10,30,143,15,11,45,78,33,7,92,41,9,347,1,-,-,-,30,56,3,9,28,72,8,6,23,8,15,3,52,30,3,288,1,-,-,-,9,21,-,1,2,71,7,5,22,70,18,4,40,11,6
136,"25201","101001","","","","ëÂí√és","å©ê¢ÇPíöñ⁄",265,2,-,-,-,18,35,2,4,16,57,9,4,17,38,11,1,30,18,3,150,1,-,-,-,13,28,2,3,16,33,5,2,11,1,4,-,16,14,1,115,1,-,-,-,5,7,-,1,-,24,4,2,6,37,7,1,14,4,2
137,"25201","101002","","","","ëÂí√és","å©ê¢ÇQíöñ⁄",370,-,-,-,-,21,42,1,6,14,86,6,7,28,40,22,6,62,23,6,197,-,-,-,-,17,28,1,6,12,39,3,4,12,7,11,3,36,16,2,173,-,-,-,-,4,14,-,-,2,47,3,3,16,33,11,3,26,7,4
138,"25201","1030","","","","ëÂí√és","ç€êÏ",1333,4,-,-,-,140,164,3,22,66,241,32,20,102,107,47,6,198,157,24,803,4,-,-,-,119,114,3,20,60,115,13,14,39,24,24,4,116,119,15,530,-,-,-,-,21,50,-,2,6,126,19,6,63,83,23,2,82,38,9
139,"25201","103001","","","","ëÂí√és","ç€êÏÇPíöñ⁄",95,-,-,-,-,1,6,-,1,-,10,2,-,6,5,3,-,9,50,2,56,-,-,-,-,1,4,-,1,-,2,1,-,3,2,1,-,4,36,1,39,-,-,-,-,-,2,-,-,-,8,1,-,3,3,2,-,5,14,1
140,"25201","103002","","","","ëÂí√és","ç€êÏÇQíöñ⁄",580,2,-,-,-,66,71,2,7,25,99,12,6,39,41,26,1,82,90,11,345,2,-,-,-,52,49,2,6,21,41,5,4,11,9,15,1,49,72,6,235,-,-,-,-,14,22,-,1,4,58,7,2,28,32,11,-,33,18,5
141,"25201","103003","","","","ëÂí√és","ç€êÏÇRíöñ⁄",504,1,-,-,-,58,71,1,9,31,96,14,8,48,44,15,4,83,11,10,308,1,-,-,-,53,51,1,9,29,47,5,7,21,10,6,3,51,7,7,196,-,-,-,-,5,20,-,-,2,49,9,1,27,34,9,1,32,4,3
142,"25201","103004","","","","ëÂí√és","ç€êÏÇSíöñ⁄",154,1,-,-,-,15,16,-,5,10,36,4,6,9,17,3,1,24,6,1,94,1,-,-,-,13,10,-,4,10,25,2,3,4,3,2,-,12,4,1,60,-,-,-,-,2,6,-,1,-,11,2,3,5,14,1,1,12,2,-
